bank,bank_type,year,total_assets_crore,deposits_crore,loans_crore,operating_income_crore,operating_expense_crore,net_profit_crore,equity_crore,npl_ratio_pct,roa_pct,roe_pct,capital_adequacy_pct,cost_to_income_pct,loan_to_deposit_pct,casa_ratio_pct,branches,digital_users,employees,profit_per_employee_bdt,asset_growth_pct,deposit_growth_pct,loan_growth_pct,profit_growth_pct,performance_score
Bank Alpha,Private Commercial,2020,52000,41309.57,29964.61,2012.87,898.84,671.95,4059.83,4.69,1.29,16.55,12.81,44.65,72.54,39.41,70,110821,1700,3952652.0,,,,,56.2
Bank Alpha,Private Commercial,2021,60886.1,49037.99,34473.94,2769.9,1233.5,1033.64,5664.19,4.77,1.7,18.25,14.04,44.53,70.3,40.32,73,160073,1794,5761666.0,17.09,18.71,15.05,53.83,62.9
Bank Alpha,Private Commercial,2022,66559.16,52363.04,37506.8,2464.95,1340.46,672.9,6680.46,4.7,1.01,10.07,12.62,54.38,71.63,41.18,81,212991,1857,3623573.0,9.32,6.78,8.8,-34.9,45.0
Bank Alpha,Private Commercial,2023,72933.44,59939.25,42191.13,2945.94,1315.12,1098.22,6039.42,4.81,1.51,18.18,14.77,44.64,70.39,42.18,85,294981,1845,5952439.0,9.58,14.47,12.49,63.21,62.5
Bank Alpha,Private Commercial,2024,81224.95,67984.27,52928.24,3717.95,1961.29,982.01,6739.44,5.16,1.21,14.57,15.11,52.75,77.85,42.55,93,394831,2078,4725757.0,11.37,13.42,25.45,-10.58,53.9
Bank Alpha,Private Commercial,2025,87153.26,68084.22,50683.88,3456.65,1912.6,825.05,6594.63,5.48,0.95,12.51,12.72,55.33,74.44,42.41,104,590895,2099,3930688.0,7.3,0.15,-4.24,-15.98,43.9
Bank Bravo,Private Commercial,2020,44000,36681.8,25412.69,1677.66,843.49,462.92,3461.54,6.09,1.05,13.37,11.98,50.28,69.28,31.05,78,127164,1850,2502283.0,,,,,44.6
Bank Bravo,Private Commercial,2021,49904.29,41053.6,31248.73,1702.73,769.32,509.15,4249.36,6.16,1.02,11.98,15.34,45.18,76.12,32.25,81,171938,1893,2689635.0,13.42,11.92,22.97,9.99,51.7
Bank Bravo,Private Commercial,2022,54793.57,41879.35,30772.34,2214.68,1169.33,570.06,5736.3,5.95,1.04,9.94,12.04,52.8,73.48,32.47,87,273695,1973,2889309.0,9.8,2.01,-1.52,11.96,41.6
Bank Bravo,Private Commercial,2023,60373.57,47346.46,36193.02,2756.05,1264.29,976.56,6019.85,5.99,1.62,16.22,13.53,45.87,76.44,32.88,95,327718,2108,4632646.0,10.18,13.05,17.62,71.31,56.3
